Timestamp;FPS;CPU;RAM;GPU;VRAM;Running Models
1713728638.9074907;2.80055484592889;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.9240227;2.80055484592889;7.10;2.3;16.0;1.1;Image Captioning + RC
1713728638.9390917;2.80055484592889;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.95411;2.80055484592889;0.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.970122;2.80055484592889;10.00;2.3;16.0;1.1;Image Captioning + RC
1713728638.9866514;2.80055484592889;1.90;2.3;16.0;1.1;Image Captioning + RC
1713728639.0014486;2.80055484592889;4.30;2.3;16.0;1.1;Image Captioning + RC
1713728639.0195508;2.80055484592889;8.00;2.3;16.0;1.1;Image Captioning + RC
1713728639.0318944;2.80055484592889;8.30;2.3;36.0;1.1;Image Captioning + RC
1713728639.0931082;2.9678760068566814;6.00;2.3;36.0;1.1;Image Captioning + RC
1713728639.153788;2.9678760068566814;4.80;2.3;36.0;1.1;Image Captioning + RC
1713728639.171577;2.9678760068566814;2.70;2.3;36.0;1.1;Image Captioning + RC
1713728639.18738;2.9678760068566814;0.00;2.3;36.0;1.1;Image Captioning + RC
1713728639.2025778;2.9678760068566814;0.00;2.3;36.0;1.1;Image Captioning + RC
1713728639.2175906;2.9678760068566814;5.30;2.3;36.0;1.1;Image Captioning + RC
1713728639.2350662;2.9678760068566814;0.00;2.3;22.0;1.1;Image Captioning + RC
1713728639.25009;2.9678760068566814;0.00;2.3;22.0;1.1;Image Captioning + RC
1713728639.265405;2.9678760068566814;5.60;2.3;22.0;1.1;Image Captioning + RC
1713728639.2804136;2.9678760068566814;0.00;2.3;22.0;1.1;Image Captioning + RC
1713728639.2959218;2.9678760068566814;12.50;2.3;22.0;1.1;Image Captioning + RC
1713728639.3115213;2.9678760068566814;0.00;2.3;22.0;1.1;Image Captioning + RC
1713728639.327126;2.9678760068566814;11.10;2.3;22.0;1.1;Image Captioning + RC
1713728639.3436496;2.9678760068566814;0.00;2.3;22.0;1.1;Image Captioning + RC
1713728639.3581755;2.9678760068566814;6.20;2.3;22.0;1.1;Image Captioning + RC
1713728639.374696;2.9678760068566814;3.70;2.3;22.0;1.1;Image Captioning + RC
1713728639.4344292;3.0066669832937456;1.20;2.3;24.0;1.1;Image Captioning + RC
1713728639.4950674;3.0066669832937456;1.90;2.3;24.0;1.1;Image Captioning + RC
1713728639.5005693;3.0066669832937456;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.5175877;3.0066669832937456;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.532791;3.0066669832937456;4.50;2.3;24.0;1.1;Image Captioning + RC
1713728639.5473166;3.0066669832937456;4.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.564346;3.0066669832937456;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.578651;3.0066669832937456;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.5957046;3.0066669832937456;3.60;2.3;24.0;1.1;Image Captioning + RC
1713728639.611741;3.0066669832937456;0.00;2.3;24.0;1.1;Image Captioning + RC
1713728639.630846;3.0066669832937456;0.00;2.3;26.0;1.1;Image Captioning + RC
1713728639.6433096;3.0066669832937456;7.10;2.3;26.0;1.1;Image Captioning + RC
1713728639.6574388;3.0066669832937456;4.50;2.3;26.0;1.1;Image Captioning + RC
1713728639.6734803;3.0066669832937456;0.00;2.3;26.0;1.1;Image Captioning + RC
1713728639.6889226;3.0066669832937456;0.00;2.3;26.0;1.1;Image Captioning + RC
1713728639.7049477;3.0066669832937456;0.00;2.3;26.0;1.1;Image Captioning + RC
1713728639.7736773;2.878068056542174;1.80;2.3;26.0;1.1;Image Captioning + RC
1713728639.7851992;2.878068056542174;4.50;2.3;26.0;1.1;Image Captioning + RC
1713728639.8392694;2.878068056542174;1.10;2.3;19.0;1.1;Image Captioning + RC
1713728639.8475347;2.878068056542174;0.00;2.3;19.0;1.1;Image Captioning + RC
1713728639.8628516;2.878068056542174;0.00;2.3;19.0;1.1;Image Captioning + RC
1713728639.8774087;2.878068056542174;0.00;2.3;19.0;1.1;Image Captioning + RC
1713728639.892938;2.878068056542174;2.60;2.3;19.0;1.1;Image Captioning + RC
1713728639.9099584;2.878068056542174;22.20;2.3;19.0;1.1;Image Captioning + RC
1713728639.9259932;2.878068056542174;0.00;2.3;19.0;1.1;Image Captioning + RC
1713728639.9405196;2.878068056542174;4.80;2.3;19.0;1.1;Image Captioning + RC
